book_title,book_page_num,book_publish_month,book_publish_day,book_publisher,book_num_reviews,book_publish_year,book_lang,book_author,book_rating,book_isbn,book_genre
The Chap Manifesto: Revolutionary Etiquette for the Modern Gentleman,144,1,10,185,3,2001,1,186,3.9,1841156574,16
The Last Gentleman (Modern Library),442,12,1,186,4,1998,1,187,3.87,0679602720,20
The Word of a Gentleman: Meditations for Modern Man,208,1,12,187,0,1983,1,188,3.0,0310258111,11
CSS Mastery: Advanced Web Standards Solutions,255,1,2,188,38,2006,1,189,4.1,1590596145,18
The Zen of CSS Design: Visual Enlightenment for the Web,296,12,2,189,28,2005,1,190,3.98,0321303474,2
The CSS Anthology,376,8,11,190,4,2004,1,191,3.87,0957921888,7
HTML Utopia,520,12,4,190,6,2006,1,191,3.29,0975240277,4
"HTML, XHTML, and CSS (Visual Quickstart Guide)",456,1,8,189,42,2006,1,192,3.79,0321430840,15
Eric Meyer on CSS: Mastering the Language of Web Design with Cascading Style Sheets,352,12,6,191,11,2002,1,193,4.13,073571245X,7
"1,000 Places to See in the U.S.A.  Canada Before You Die",1183,7,6,34,17,2007,1,194,4.05,0761136916,10
1000 Record Covers,575,12,5,192,32,2005,4,195,3.84,3822840858,15
Paul Huf: record covers,120,1,6,193,0,1999,1,196,0.0,9080482110,11
100 Albums That Changed Music: And 500 Songs You Need to Hear,319,1,8,194,0,2006,1,197,3.53,0785821341,15
1000 Families,576,1,12,192,2,2002,1,198,4.06,3822822647,22
The Art of Rock: Posters from Presley to Punk,348,1,3,195,7,1999,1,199,4.49,0789206110,21
Art of Modern Rock: The Poster Explosion,492,4,11,196,25,2004,1,199,4.12,081184529X,6
Ambiguous Images: Gender and Rock Art,256,11,11,197,0,2003,1,200,3.83,0759100659,20
Roadside Guide to Indian Ruins & Rock Art of the Southwest,240,1,1,198,0,2005,1,201,4.12,1565794818,23
A Field Guide to Rock Art Symbols of the Greater Southwest,256,1,5,199,5,1992,1,202,4.18,1555660916,12
Guide to Rock Art of the Utah Region: Sites with Public Access,245,12,12,200,1,2000,1,203,4.0,158096009X,14
The Rock Art of Texas Indians,253,1,1,201,0,1996,1,204,4.1,0292743262,1
The Archaeology of Rock-Art,392,12,1,49,0,1999,1,205,4.31,0521576199,8
African Rock Art: Paintings and Engravings on Stone,256,4,6,202,1,2001,1,206,4.14,0810943638,8
Flash to the Core: An Interactive Sketchbook by Joshua Davis,352,12,7,191,3,2002,1,207,4.1,0735712883,21
Killing Yourself to Live: 85% of a True Story,245,12,6,135,1116,2006,1,208,3.81,0743264460,6
"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",272,2,7,135,3343,2004,1,208,3.74,0743236017,7
"Sex, Drugs & Economics: An Unconventional Introduction to Economics",263,8,3,203,5,2004,1,209,3.6,1587991829,10
"Sex, Drugs, Rock and Roll",136,1,9,204,10,2008,1,210,3.81,1559361247,2
"Sex, Drugs, Gambling, and Chocolate: A Workbook for Overcoming Addictions",240,1,8,205,3,2003,1,211,3.9,1886230552,19
"Life and Def: Sex, Drugs, Money, + God",288,12,9,206,21,2002,1,212,3.8,0609807153,6
The Vice Guide to Sex and Drugs and Rock and Roll,362,1,9,207,37,2003,1,213,4.06,0446692816,22
Grand Theft Auto: Vice City Official Strategy Guide for PC,192,12,5,208,0,2003,1,214,4.07,0744002613,23
Grand Theft Auto: Vice City Stories Official Strategy Guide,240,12,10,208,0,2006,1,215,4.5,0744008433,22
The Faking of the Vice-President: A Guide to Becoming a Superfluous Leader,96,12,5,209,0,1992,1,216,0.0,0399517294,10
Vice & Virtue in Everyday Life: Introductory Readings in Ethics,594,1,3,210,5,2006,1,217,3.74,0495130060,6
Vice Cream: Over 70 Sinfully Delicious Dairy-Free Delights,112,12,2,211,10,2004,1,218,3.82,1587611996,5
"Vice (V, #8)",419,2,5,212,19,1996,1,219,3.51,0553572490,16
The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,272,12,12,213,641,2005,1,220,3.93,0767923820,21
The Automatic Millionaire Homeowner: A Powerful Plan to Finish Rich in Real Estate,272,7,3,213,91,2006,1,220,3.84,0767921208,20
The Automatic Millionaire Workbook: A Personalized Plan to Live and Finish Rich. . . Automatically,200,4,1,213,6,2005,1,220,3.73,0767919483,20
The Automatic Millionaire Workbook,240,12,1,214,0,2005,1,220,3.73,0385661339,16
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",540,12,4,215,6515,2006,1,221,3.77,0060589469,10
The Mouse and the Motorcycle,160,1,5,73,1,2006,1,222,3.93,0060588330,18
The Essential Guide to Motorcycle Maintenance,256,12,1,216,4,2004,1,223,3.94,1884313418,10
How to Paint Your Motorcycle,128,10,11,217,0,2005,1,224,4.0,0760320780,10
How to Restore Your Motorcycle,224,12,9,218,2,2000,1,223,3.66,0760306818,2
"Life is a Road, the Soul is a Motorcycle",212,5,3,19,3,2003,1,225,3.63,0595269907,3
Motorcycle Touring: Everything You Need to Know,160,5,9,217,2,2005,1,226,3.5,0760320357,1
Guidebook to Zen and the Art of Motorcycle Maintenance,408,12,11,5,11,1990,1,227,3.72,0688060692,19
Motorcycle Basics Techbook,222,5,7,219,2,2002,1,228,3.88,185960515X,12
Motorcycle Camping Made Easy,127,12,8,216,1,2002,1,229,3.62,1884313337,6
Dos Logos,444,1,9,220,1,2004,1,230,3.97,3899550552,3
Logo Design Workbook: A Hands-On Guide to Creating Logos,240,1,3,221,9,2006,1,231,3.9,1592532349,16
"LOGO Lounge: 2,000 International Identities by Leading Designers",191,1,9,221,0,2004,1,232,3.91,1592530877,23
Letterhead and Logo Design 9,240,1,9,221,2,2005,1,233,4.22,1592531822,12
Los Logos: A Selected LOGO Collection,444,1,10,222,2,2002,1,234,3.96,3931126927,22
The Big Book of Logos 3,384,12,3,223,0,2004,1,235,4.18,0060596880,6
Great Short Works,720,2,3,139,67,2004,1,45,4.31,0060586974,8
The Death of Ivan Ilych And Other Stories,304,1,4,224,267,2003,1,45,4.11,0451528808,23
War and Peace,1392,12,6,55,6350,1998,1,45,4.12,6412759,6
Tolstoy Lied: A Love Story,336,1,9,7,22,2006,1,236,3.45,0618546693,13
The Kingdom of God Is Within You,352,8,9,163,212,2006,1,45,4.12,0486451380,6
Walk in the Light & Twenty-Three Tales,351,12,11,225,22,2003,1,45,4.15,1570754608,15
The Poet of Tolstoy Park,254,1,12,6,7,2004,1,237,3.93,034547631X,18
Atlas Shrugged,1168,1,8,130,14821,1999,1,238,3.69,0452011876,2
For the New Intellectual: The Philosophy of Ayn Rand,224,1,12,226,109,1963,1,238,3.68,0451163087,3
The Fountainhead,752,12,4,227,230,2005,1,238,3.87,0452286751,16
The Virtue of Selfishness: A New Concept of Egoism,176,1,11,228,473,1964,1,238,3.51,0451163931,18
Ayn Rand Answers: The Best of Her Q & A,241,1,11,229,15,2005,1,239,4.16,0451216652,13
Anthem,105,1,12,230,7353,1999,1,238,3.63,0452281253,20
We the Living,464,1,1,228,1094,1996,1,238,3.91,0451187849,9
Capitalism: The Unknown Ideal,340,12,7,228,156,1986,1,238,3.88,0451147952,3
Letters of Ayn Rand,681,1,2,230,2,1997,1,238,3.97,0452274044,15
"Philosophy, Who Needs It / Ayn Rand: In",276,1,6,231,1,1988,1,238,3.88,0672527251,1
Sailing for Dummies,416,1,6,232,7,2006,1,240,3.95,0471791431,19
The Complete Sailor: Learning the Art of Sailing,208,1,3,233,14,1995,1,241,4.31,0070571317,16
Sailing Fundamentals,224,1,8,39,12,2005,1,242,3.94,0743273087,21
Sailing from Byzantium: How a Lost Empire Shaped the World,335,12,7,12,83,2006,1,243,3.88,0553803816,17
Sailing Alone Around the Room: New and Selected Poems,172,12,9,234,635,2002,1,244,4.23,0375755195,4
Learning to Sail: The Annapolis Sailing School Guide for All Ages,112,12,4,233,3,1994,1,245,4.07,0070240140,13
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,286,1,4,82,5,2004,1,246,3.62,1592283195,22
"Sailing Smart: Winning Techniques, Tactics, And Strategies",208,12,4,235,0,1987,1,247,4.09,0805003517,11
The Handbook Of Sailing,352,11,8,95,8,1992,1,248,4.05,0679740635,18
More Natural Cures Revealed,358,9,5,236,51,2006,1,249,3.41,0975599542,23
Natural Capitalism,416,12,10,140,134,2000,1,250,4.0,0316353000,13
The Natural,231,7,7,26,680,2003,1,251,3.63,0374502005,16
"Natural Hormone Balance for Women: Look Younger, Feel Stronger, and Live Life with Exuberance",320,1,1,64,16,2002,1,252,4.08,0743406664,6
Natural Resource Conservation: Management for a Sustainable Future,656,1,9,237,0,2004,1,253,3.39,0131458329,10
The End of Print,160,1,11,238,5,1995,1,254,4.06,0811811999,18
"Trek David Carson, Recent Werk",456,8,3,239,3,2004,1,254,4.24,1584230460,15
David Carson 2ndsight,176,12,11,240,0,1997,1,255,4.06,078930127X,19
The Book of Probes,573,12,12,239,4,2003,1,256,4.15,1584230568,2
Ortlos: Architecture of the Net.Works,216,1,11,241,0,2005,1,257,4.33,3775716521,7
Digging to America,277,2,5,242,1853,2006,1,258,3.55,0307263940,18
"America: A Concise History, Volume 2: Since 1865",640,4,2,243,4,2005,1,259,3.83,0312416415,18
Rereading America: Cultural Contexts for Critical Thinking and Writing,826,12,1,243,3,2004,1,260,3.78,0312405545,20
Modern Latin America,528,7,10,162,11,2004,1,261,3.59,019517013X,6
The Plot Against America,391,12,9,142,3049,2005,1,262,3.77,1400079497,14
Covenant with Black America,254,12,2,244,22,2006,1,263,3.76,0883782774,16
Democracy in America,703,1,3,245,2,2003,1,264,4.02,089526160X,17
Naked Pictures of Famous People,164,12,9,246,418,1999,1,265,3.59,0688171621,16
"Swiss Graphic Design: The Origins and Growth of an International Style, 1920-1965",272,12,4,172,5,2006,1,266,4.35,0300106769,21
Swiss Design 2002: Netzwerke / Ra(c)Seaux / Networks,226,1,1,247,0,2003,1,267,2.0,3037780010,1
Benzin: Young Swiss Graphic Design,336,1,10,247,1,2001,1,268,4.12,3907078586,21
Swiss Design 2004,216,12,10,247,0,2004,1,269,0.0,3037780444,8
Swiss Design 2003: Desir Design,200,2,2,247,0,2004,1,270,0.0,3037780274,2
The Art of Structural Design: A Swiss Legacy,212,11,3,248,0,2003,1,271,4.0,0300097867,16
Swiss Graphic Design,224,1,9,249,0,2000,1,272,3.75,3931126366,18
Charted Swiss Folk Designs,32,1,1,163,0,1978,1,273,2.0,0486235742,6
Guitar Chord Encyclopedia: 36 Chords in Each Key,312,1,1,250,0,1993,1,274,3.73,0882845292,12
"Incredible Chord Finder: Easy-to-Use Guide to Over 1,100 Guitar Chords",104,1,12,8,1,1986,1,275,3.67,0881885940,16
Guitar Case Chord Book in Full Color - Compact Music Guides Series,48,1,3,251,0,2002,1,276,4.5,0825619408,9
Chord Workbook for Guitar Volume One,176,1,4,252,0,2001,1,277,4.4,1890944505,7
Guitar Chord Bible,256,12,8,253,3,2009,1,278,4.2,0785820833,11
"The Guitar Chord Wheel Book: Over 22,000 Chords!",336,1,1,251,1,1993,1,279,4.0,0793519977,6
Red Hot Chili Peppers,141,1,7,251,0,2005,1,279,4.0,0634096486,3
Mel Bays Guitar Chords,48,1,1,8,2,1993,1,280,4.5,0871660903,6
"The Ultimate Guitar Chord Big Book: Over 100,000 Chords!",404,1,1,250,0,1998,1,281,0.0,0769232752,22
"Complete Book of Guitar Chords, Scales, and Arpeggios",294,1,9,254,2,1992,1,282,3.94,156222526X,15
Jazz Guitar Chord System: Private Lessons Series,16,1,1,255,0,1999,1,283,4.75,0793591651,16
The First Stage Guitar Chord Chart: Learn How to Play the Most Commonly Played Guitar Chords!,8,1,1,256,0,2006,1,284,3.2,0966771915,17
Jazz Guitar Chord Workout,23,1,7,257,0,2004,1,285,0.0,0786671513,22
The Beatles Guitar Chord Songbook: A-I (Guitar Chord Songbooks),232,1,1,258,0,2003,1,286,4.25,0634053396,3
The Compact Rock Guitar Chord Reference,48,1,12,259,0,1999,1,287,0.0,0825613876,19
The Guitar Three-Chord Songbook: Play 50 Rock Hits with Only 3 Easy Chords,98,1,8,251,0,2002,1,275,3.88,0634049941,13
The Advanced Guitar Case Chord Book: Compact Reference Library,68,1,10,260,0,1992,1,288,3.33,0825612438,11
Guitar Chord Guru: The Chord Book - Your Guide for Success!,112,1,2,261,1,2000,1,289,4.25,1569221596,4
Guitar Chord Songbook: Classic Rock,237,1,8,251,0,2005,1,279,4.0,0634060651,7
The Guitar Chord Deck,45,1,12,260,0,1999,1,290,5.0,0825617545,12
Guitar Picture Chords in Color,56,1,8,260,0,2001,1,290,5.0,0825618932,11
Collected Stories,352,12,5,139,182,2008,1,97,4.19,0060932686,3
Crónica de una muerte anunciada,118,12,10,262,435,2003,3,97,3.97,1400034957,1
Del amor y otros demonios,176,7,2,263,289,2006,3,97,3.98,0307350444,6
Living to Tell the Tale,533,12,10,69,47,2004,1,97,3.99,140003454X,13
Memoria de mis putas tristes,112,12,10,262,387,2004,3,97,3.6,1400095808,17
Gabriel Garcia Marquez,176,1,12,264,0,1984,1,291,3.8,0805765972,18
The Presence of Hemingway in the Short Fiction of Gabriel Garcia Marquez,50,12,12,265,0,1994,1,292,3.5,091996690X,8
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",425,2,9,266,1055,2004,1,293,4.07,0375708111,4
Science and Sensibility: The Elegant Logic of the Universe,233,12,7,267,1,2004,1,294,3.6,1591021383,12
Buddhism Pure and Simple,140,1,5,268,1,2001,1,295,4.26,0834804824,2
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,288,12,5,269,6,2005,1,296,4.27,086171492X,13
Buddhism Plain and Simple,176,12,12,270,377,1998,1,297,4.08,0767903323,6
Buddhism Is Not What You Think: Finding Freedom Beyond Beliefs,272,12,9,271,65,2009,1,297,4.09,0060730579,1
The Path to Buddha: A Tibetan Pilgrimage,144,12,11,272,2,2003,1,298,4.19,0714843466,6
The Shaolin Way: 10 Modern Secrets of Survival from a Shaolin Grandmaster,272,2,8,273,11,2005,1,299,3.26,0060574569,4
"Meditation, Compassion & Lovingkindness: An Approach to Vipassana Practice",211,1,1,274,1,1996,1,300,3.33,0877288526,9
Now Zen,83,1,1,271,2,1995,1,301,4.06,0062511734,15
The Rough Guide to London,633,3,11,275,0,2003,1,302,4.02,1843530937,15
The Mini Rough Guide to London,363,1,4,275,0,2006,1,302,3.75,184353584X,17
The Rough Guide to London Restaurants 2004 6,544,12,11,275,0,2003,1,303,4.02,184353097X,13
The Rough Guide to Walks in London and Southeast England,288,12,11,275,1,2003,1,304,4.15,1858289386,9
Rough Guide Directions: London,176,12,5,276,3,2004,1,302,3.8,1843533162,6
London: City Guide (Lonely Planet City Guide),466,1,1,8,4,2006,1,305,4.03,1740598318,20
Best of London (Lonely Planet Best Of),128,1,9,277,0,2004,1,305,3.87,1740594770,22
London,400,1,3,8,0,2002,1,305,4.03,186450353X,6
Lonely Planet Londres,480,1,5,278,0,2006,3,305,4.03,8408064762,15
Out to Eat London 2001 (Lonely Planet),320,1,9,277,0,2000,1,305,3.0,1864500832,9
Out to Eat London 2002 (Lonely Planet Out to Eat),295,1,9,277,0,2001,1,305,3.0,1740592050,1
Lo mejor de Londres (Lonely Planet Best Of),128,1,5,277,0,2005,1,305,3.87,8408056131,18
"Thai Massage Manual: Natural Therapy for Flexibility, Relaxation, and Energy Balance",144,1,8,72,3,2005,1,306,4.05,1402728514,22
Encyclopedia of Thai Massage,255,1,10,279,3,2004,1,307,4.25,1844090299,18
Thai Massage: Sacred Body Work,288,5,1,280,3,2004,1,308,4.31,1583331689,13
Thai Yoga Massage: A Dynamic Therapy for Physical Well-Being and Spiritual Energy,160,9,3,281,0,2004,1,309,3.89,0892811463,20
Thai Massage,128,8,2,282,0,2005,1,310,3.62,0754814742,3
Nuad Thai: Traditional Thai Massage,112,12,11,283,0,2005,1,311,3.67,0935621032,18
Thai Massage: A Traditional Medical Technique,240,1,10,284,1,2006,1,312,4.07,0323041388,21
"Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager",287,4,4,285,238,2006,1,313,3.88,0618710531,7
Cryptonomicon,1139,1,11,286,4272,2002,1,314,4.25,0060512806,10
"Le Code Enigma (Cryptonomicon, #1)",546,12,11,287,0,2001,2,314,4.04,6412759,17
"Le Réseau Kinakuta (Cryptonomicon, #2)",418,12,3,288,0,2001,2,314,4.11,2228894168,19
"The Confusion (The Baroque Cycle, #2)",815,12,6,5,569,2005,1,314,4.26,0060733357,21
"Quicksilver (The Baroque Cycle, #1)",927,12,9,289,1744,2004,1,314,3.93,0060593083,17
The Cobweb,448,12,5,290,137,2005,1,314,3.61,0553383442,17
The Big U,308,6,2,5,224,2001,1,314,3.26,0380816032,13
Interface,640,12,5,291,272,2005,1,314,3.68,0553383434,14
"Odalisque (The Baroque Cycle, Vol. 1, Book 3)",464,12,3,215,67,2006,1,314,4.2,0060833181,22
Snow Crash,438,2,8,292,6621,2000,1,314,4.03,0553380958,13
The Good Eye,352,12,6,293,0,2006,1,315,0.0,1847280420,18
Angelfish,212,12,6,293,0,2006,1,315,5.0,1847280587,21
The Design of Everyday Things,240,12,9,294,1429,2002,1,316,4.17,0465067107,4
Emotional Design: Why We Love (or Hate) Everyday Things,272,11,5,294,154,2005,1,316,3.95,0465051367,21
The Psychology of Everyday Things,257,12,6,294,31,1988,1,316,4.17,0465067093,10
Doing Things with Things: The Design and Use of Everyday Objects,256,12,9,28,0,2006,1,317,2.6,0754646564,10
Wire,148,1,10,195,0,1994,1,318,4.0,1558597921,2
Wild Things: The Material Culture of Everyday Life,334,1,12,295,1,2000,1,319,3.64,1859733697,18
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,259,12,4,296,7,2006,1,320,4.27,0898709199,2
Creative Thought Remedies,156,1,6,297,0,1986,1,321,3.33,0875165664,19
Noise,84,1,1,298,0,1998,1,321,0.0,1854593536,20
Seven Mansions of Color,160,1,3,297,0,1983,1,321,3.9,0875165001,20
Fields of Gold,96,1,9,299,0,2005,1,321,0.0,184002528X,4
The Trust: The Private and Powerful Family Behind The New York Times,928,12,9,140,3,2000,1,33,3.97,0316836311,13
How to Build a Real Estate Empire: Wisdom from the Best in the Business,255,12,9,300,1,2005,1,322,3.52,0977073300,6
The Alchemist,192,2,5,271,76,2006,1,323,3.87,0060887966,23
"Fullmetal Alchemist, Vol. 9 (Fullmetal Alchemist, #9)",192,12,9,301,156,2006,1,324,4.58,142150460X,2
"Fullmetal Alchemist, Vol. 3 (Fullmetal Alchemist, #3)",192,12,9,301,304,2005,1,324,4.5600000000000005,1591169259,10
"Fullmetal Alchemist, Vol. 8 (Fullmetal Alchemist, #8)",192,12,7,301,159,2006,1,324,4.57,1421504596,9
"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",192,3,5,301,1447,2005,1,324,4.5,1591169208,9
"Fullmetal Alchemist, Vol. 4 (Fullmetal Alchemist, #4)",200,8,11,301,296,2005,1,324,4.55,1591169291,11
The Illustrated Alchemist: A Fable about Following Your Dream,198,1,11,73,33,1998,1,323,3.87,006019250X,7
"Fullmetal Alchemist, Vol. 2 (Fullmetal Alchemist, #2)",192,5,7,301,430,2005,1,324,4.52,1591169232,15
Cambridge Wizard Student Guide the Kite Runner,79,12,3,49,1,2006,1,325,3.78,0521682347,18
Pompeii,274,8,11,234,1743,2005,1,326,3.82,0812974611,11
Pompeii . . . Buried Alive!,48,12,10,111,58,1987,1,327,3.98,0394888669,16
"Pompeii: The History, Life and Art of the Buried City",416,7,9,302,9,2010,1,328,4.57,8854400300,12
Pompeii: Lost and Found,40,10,1,303,13,2006,1,329,3.71,0375828893,21
Pompeii: Monuments Past and Present,56,6,1,162,0,2000,1,330,4.18,8881620758,22
A.D. 62: Pompeii,304,7,2,19,32,2003,1,331,3.36,059526882X,13
Pompeii: Public and Private Life,253,12,1,304,5,1999,1,332,3.42,0674689674,15
The Last Days of Pompeii,360,3,12,305,68,2002,1,333,3.6,158715739X,17
Of Mice and Men,103,8,1,50,25882,2002,1,334,3.87,0142000671,22
Of Mice and Men (SparkNotes Literature Guide),72,10,1,179,1,2002,1,172,3.89,6412759,2
The Game: Penetrating the Secret Society of Pickup Artists,464,6,9,306,1607,2005,1,335,3.74,0060554738,21
The Westing Game,182,12,4,76,8918,2004,1,336,4.02,014240120X,1
The Egypt Game,215,7,7,125,1142,2009,1,17,3.83,0808553038,17
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,134,12,5,234,601,1997,1,337,4.25,0679778314,9
"A Lonely Resurrection (John Rain, #2)",352,5,2,307,244,2013,1,338,4.11,6412759,11
And a Hard Rain Fell,368,12,3,308,57,2004,1,339,4.13,157071987X,3
Hard Rain,368,12,7,69,0,1993,1,340,3.45,0679745270,19
"A Clean Kill in Tokyo (John Rain, #1)",363,1,7,307,592,2002,1,338,3.96,6412759,19
Memoirs of a Geisha,503,12,11,266,3901,2005,1,341,4.11,1400096898,12
Memoirs of a Geisha: A Portrait of the Film,144,12,10,309,8,2005,1,342,4.1,1557046832,19
Geisha of Gion,334,6,5,121,160,2003,1,343,3.93,074343059X,21
Memoirs Of A Geisha,3,3,1,8,5,2006,1,341,4.11,0007229577,5
How to Make Anyone Fall in Love with You,336,12,9,310,72,1997,1,344,3.58,0809229897,23
How To Get Laid: The Rules On How To Succeed With Women And How To Make Anyone Fall In Love With You,222,12,6,311,0,2000,1,345,3.0,0971320500,9
Love As A Foreign Language #5,58,1,2,312,2,2006,1,346,3.44,1932664394,18
Marriage Special Package- 2 books- Five Love Languages/Fight Fair,400,1,8,313,10,2003,1,347,4.3,0802415075,5
Jungle Love,95,1,8,49,7,2002,1,348,3.45,0521750849,3
Building Literacy with Love: A Guide for Teachers and Caregivers of Children Birth Through Age 5,366,12,11,314,1,2004,1,349,3.6,0943657822,7
The Five Love Languages of Children,224,1,6,313,1244,1997,1,347,4.2,1881273652,4
"Cinco Lenguajes del Amor Para Solteros, Los: Five Love Languages for Singles",235,1,3,315,2,2006,1,347,4.17,0789912910,7
The Five Love Languages of Teenagers,272,1,1,316,14,2001,1,347,4.12,1881273393,5
The 5 Love Languages / The 5 Love Languages Journal,0,1,1,313,4,2005,1,347,4.69,0802415318,15
Five Love Languages Journal: How To Express Heartfelt Commitment To Your Mate,144,1,1,316,2,2005,1,347,4.18,1881273717,4
Los Cinco Lenguajes Del Amor/the Five Languages of Love,196,6,5,315,5,2004,1,347,4.25,0789912864,18
"Angels & Demons (Robert Langdon, #1)",736,1,4,121,21462,2006,1,350,3.9,1416524797,5
Angels and Demons: What Do We Really Know About Them?,157,1,12,296,22,1995,1,351,4.05,0898705509,21
"Angels, Demons & Gods of the New Millenium: Musings on Modern Magick",192,1,9,274,2,1997,1,352,4.09,157863010X,17
Angels and Demons in Art,384,1,11,317,7,2005,1,353,4.11,0892368306,22
Secrets of Angels and Demons,384,12,3,318,0,2006,1,354,3.46,1593153589,2
"Ángeles y demonios (Robert Langdon, #1)",508,1,12,319,20,2005,3,350,3.9,849561877X,22
Angeles & Demonios,18,1,12,320,7,2005,3,350,3.9,0972859896,10
"Angel Customers & Demon Customers: Discover Which is Which, and Turbo-Charge Your Stock",256,2,6,321,3,2003,1,355,3.42,1591840074,8
"The Da Vinci Code (Robert Langdon, #2)",489,12,3,322,36086,2006,1,350,3.84,0307277674,23
The Da Vinci Code,467,12,3,4,105,2006,1,350,3.84,076792603X,13
"Da Vinci Code (Robert Langdon, #2)",744,3,5,323,16,2005,2,350,3.84,2266144340,10
"Who Can Crack the Leonardo Da Vinci Code? (Museum of Adventures, #1)",112,1,4,324,0,2005,1,356,3.54,3791333224,22
The Da Vinci Code: Fact or Fiction?,96,1,5,325,12,2004,1,357,3.68,1414302797,20
Deception Point,736,1,4,121,411,2006,1,350,3.71,1416524800,21
"Point Deception (Cape Perdido, #1)",368,1,5,207,37,2002,1,358,3.7,0446611360,9
A Killing Rain: The Global Threat of Acid Precipitation,206,12,9,326,0,1984,1,359,4.0,0871568233,6
"A Killing Rain (Louis Kincaid, #6)",383,1,2,327,41,2005,1,360,4.04,078601606X,17
"Winner Take All (John Rain, #3)",384,12,6,307,154,2004,1,338,4.14,6412759,1
A Storm Without Rain: A Novel in Time,179,1,11,328,10,2004,1,361,4.09,0937822809,5
"Eye of the Storm (Hudson, #3)",368,4,2,8,5,2002,1,362,3.82,0743409159,23
Storm in a Rain Barrel,262,12,12,329,0,1991,1,363,3.23,0792706056,8
What Every Investor Needs to Know about Accounting Fraud,176,2,12,330,2,2003,1,364,3.27,0071422765,7
What Every Fidelity Investor Needs to Know,338,1,11,43,1,2006,1,365,3.86,0470036273,6
Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen,320,1,5,331,64,2004,1,366,3.88,0740745328,23
Think and Grow Rich,345,12,10,332,5,2001,1,367,4.18,158063205X,21
Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,320,1,9,333,2336,2005,1,367,4.18,1585424331,6
Think and Grow Rich!,412,1,10,334,25,2004,1,367,4.18,1593302002,20
The Think and Grow Rich Action Pack,352,1,8,335,2,1988,1,367,4.18,0452266602,11
Think and Grow Rich: Instant Motivator,0,1,9,332,1,2003,1,367,4.18,1932429158,10
Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series),256,7,6,9,14,2006,1,368,3.58,0977616657,3
Practical Subversion,336,11,11,336,0,2004,1,369,3.83,1590592905,2
Control and Subversion: Gender Relations  in Tajikistan,216,12,5,337,0,2004,1,370,4.29,0745321674,10
Bodies of Subversion: A Secret History of Women and Tattoo,176,9,4,338,19,2001,1,371,4.01,189045110X,14
Dreams of Subversion in Medieval Jewish Art and Literature,200,12,11,339,2,1997,1,372,3.71,0271016051,18
Recovering Subversion: FEMINIST POLITICS BEYOND THE LAW,288,12,7,340,0,2004,1,373,4.22,0252029690,5
Read My Lips: Sexual Subversion and the End of Gender,288,1,6,341,17,2005,1,374,3.95,1563410907,19
"Trump: Think Like a Billionaire: Everything You Need to Know About Success, Real Estate, and Life",288,12,9,6,102,2005,1,375,3.65,0345481402,13
Trump: The Art of the Deal,384,12,12,6,972,2004,1,375,3.67,0345479173,12
Trump Strategies for Real Estate: Billionaire Lessons for the Small Investor,231,1,2,43,18,2006,1,376,4.11,0471774340,2
Trump University Real Estate 101: Building Wealth with Real Estate Investments,290,1,4,342,9,2006,1,377,3.65,0471917273,19
Trump: How to Get Rich,320,12,12,6,164,2004,1,375,3.38,0345481038,4
Trump: The Way to the Top: The Best Business Advice I Ever Received,256,12,5,213,28,2004,1,375,3.38,1400050162,17
Trump,0,12,10,343,0,1997,1,375,3.55,0609000683,6
Trump: Surviving at the Top,229,12,8,344,13,1990,1,375,3.52,0394575970,9
Trump: The Best Real Estate Advice I Ever Received: 100 Top Experts Share Their Strategies,273,7,11,345,14,2006,1,375,3.56,140160255X,23
Maybe You Never Cry Again,304,12,10,306,52,2004,1,378,4.26,0060529326,3
Bernie Mac,32,1,7,346,0,2006,1,379,5.0,1584154888,13
The Richest Man in Babylon,194,1,2,229,3555,2008,1,380,4.26,0451205367,1
Richest Man In Babylon For Today,150,6,1,347,9,2004,1,381,3.88,0967936632,11
Shibumi,480,10,5,4,641,2005,1,382,4.21,1400098033,16
Shibumi and the Kitemaker,48,1,1,348,1,2003,1,383,4.05,0761451455,12
1776,386,4,7,159,6288,2006,1,384,4.07,0743226720,9
"The Highland Scots of North Carolina, 1732-1776",230,12,8,349,4,1987,1,385,3.77,0807841994,8
"The 1776 Quilt: Heartache, Heritage, and Happiness",176,12,1,350,0,2007,1,386,4.43,1933308109,7
"The Crescent Obscured: The United States and the Muslim World, 1776-1815",284,12,7,351,5,2000,1,387,3.62,0226014908,14
